category,title,content
politics,Kilroy names election seat target,Exchat show host Robert KilroySilk contest Derbyshire seat Erewash next general election Labours Elizabeth Blackman seat 1997 6932 majority She says fight record hardworking constituency MP Mr KilroySilk announced plans day launching new party Veritas Latin truth The East Midlands MEP quit UK Independence Party wants new group change face UK politics His choice election constituency quashes speculation would stand Defence Secretary Geoff Hoon Ashfield Nottinghamshire UKIP 31 vote Erewash last Junes European elections Mr KilroySilk among candidates region Until 1997 Erewash held Tories since 1970 Ms Blackman said proud governments achievements area She declined give view Mr KilroySilk point On Thursday told London news conference Veritas would avoid old parties lies spin He said country stolen us mass immigration promised firm fair policy immigration Veritas says hopes contest seats forthcoming general election plans announce detailed policies crime tax pensions health defence next weeks UKIP leader Roger Knapman says glad see back Mr KilroySilk Labour campaign spokesman Fraser Kemp said Veritas joining already crowded field right British politics Mr KilroySilk joined new venture one UKIPs two London Assembly members Damien Hockney Veritas deputy leader UKIPs chairman Petrina Holdsworth said group parody party men left Mr KilroySilk quit UKIP last week months tension vied unsuccessfully leadership party He said ashamed member UKIP whose leadership gone AWOL great opportunity offered third place last Junes European elections UKIPs leader Roger Knapman said glad see back Mr KilroySilk He remarkable ability influence people sadly European election became clear interested Robert KilroySilk Party UK Independence Party nice knowing goodbye said UKIP officials also argue Mr KilroySilk straightforward attacking party wanted lead
business,Japans ageing workforce built last,In twenties battled tuberculosis eight years went run clothing business marrying late thirties And 101yearold Torao Toshitsune eaten raw fish pretty much every day throughout life Mr Toshitsune one Japans 23000 centenarians club growing 13 annually oldest member 114 At neat Osaka detached house lives one sexagenarian daughters Mr Toshitsune keeps regular routine copying Buddhist sutras preparing traditional Japanese tea ceremony Between tasks remarkably active senior citizen reveals next goal Well whats important Japans number one Mr Toshitsune wants outlive everyone And comes longevity Japan country appears Women expect live 85 men 78 four years longer Americans Europeans On outskirts Kyoto 83yearold Yuji Shimizu contemplates phenomenon round golf younger friends seventies I think food industry environment improved remarks On average live longer Whether diet traditional family structure roles clearly defined something genes Japans elderly remarkable But life may game golf Mr Shimizu grandchildren huge problems ahead Japan worlds least fertile nation childbirth rates two thirds US By 2007 Japans population expected peak 127 million shrink 100 million middle century This means 30 million fewer workers time number elderly almost doubled In year 2050 birth rate remains people 60 make 30 population explains Shigeo Morioka International Longevity Centre Tokyo So Japans finances stay track After decade economic stagnation huge deficit spending public sector debt already 140 countrys gross domestic product GDP highest rate among industrialised countries The International Monetary Fund predicts falling birth rate takes grip 2010 cost running Japans welfare state double 5 GDP current account balances deteriorate 2 But unfortunately Japan appears poorly prepared financially politically Glen Wood Vice President Deutsche Securities Japan asks Whos going fund pension fund next generation indeed going new Japanese worker Who going build economy going leaders Who going producers GDP going forward One option welfare reform Another immigration possibly Philippines Indonesia But far emerging policy appears restricted limited number nursing staff Standing next Tokyo harbour version New Yorks Statue Liberty But yet Japan ready Ellis Island Japan never really liked option history I think option thats becoming plausible necessary insists Mr Wood In Japan Europe also faces workforce decline immigration sensitive subject But Japanese economy facing 8 fewer consumers 2050 means slumping domestic sales cars hitech kit home appliances perhaps even another property crash Of course Japanese could always children The government currently considering financial rewards procreative couples similar operation Australia But would pay back 2030 todays babies taxpayers demographic crisis like Europe starts unfold 2010 In contrast Japan course European Union US population expected increase 46 420 million middle century Although President Bush must redevise Social Security take account 130 rise Americas 65s IMF foresees positive contribution US current account balance combined forces fertility immigration Some voices Japanese industry calling radical changes nature Japanese labour market They want shift towards financial services though doubts persist countrys ability let alone willingness move away manufacturing Japan still problems getting viable banking system let alone shifting auto business semiconductor business broad based tech manufacturing business overseas says Mr Wood Japan either drive radical reforms else run risk vicious ageing recession Falling demand lower tax take could result soaring budget pressures basket case currency Come 2020 Japan could dependent shrinking workforce industrialised power There fears worlds number two economy doomed permanent recession But none Mr Toshitsunes concern anymore At 101 chuckles feels fine
politics,Short attacks US tsunami aid,Former Cabinet minister Clare Short criticised USled tsunami aid coalition saying UN leading efforts President Bush announced alliance US India Australia Japan coordinate humanitarian drive But Ms Short said effect parallel coalition would undermine UN She said UN moral authority lead relief work Ms Short resigned international development secretary Iraq war I think initiative America set four countries claiming coordinate sounds like yet another attempt undermine UN best system got one needs building said Only really UN job told BBC Radio Fours PM programme It body moral authority But well backed authority great powers Ms Short said countries involved could boast good records response major disasters The US bad coordinating anyone India problems Ms Short said I dont know sounds much I afraid like US trying separate operation work rest world UN system added
tech,Pompeii gets digital makeover,The oldfashioned audio tour historical places could soon replaced computergenerated images bring site life A European Unionfunded project looking providing tourists computeraugmented versions archaeological attractions It would allow visitors glimpse life originally lived places Pompeii It could pave way new form cultural tourism The technology would allow digital people computergenerated elements combined actual view seen tourists walk around historical site The Lifeplus project part EUs Information Society Technologies initiative aimed promoting userfriendly technology enhancing European cultural heritage Engineers researchers working Europewide consortium come prototype augmentedreality system It would require visitor wear headmounted display miniature camera backpack computer The camera captures view feeds software computer visitors viewpoint combined animated virtual elements At Pompeii example visitor would see frescos taverns villas excavated also people going daily life Augmented reality used create special effects films Troy Lord Rings computer gaming This technology used much computer games said Professor Nadia MagnenatThalman Swiss research group MiraLab We first time able run combination software processes create walking talking people believable clothing skin hair realtime said Unlike virtual reality delivers entirely computergenerated scene viewer Lifeplus project combining digital real views Crucial technique software interprets visitors view provides accurate match real virtual elements The software capable developed UK company 2d3 Andrew Stoddart chief scientist 2d3 said EU project driven new desire bring past life The popularity television documentaries dramatisations using computergenerated imagery recreate scenes ancient history demonstrates widespread appeal bringing ancient cultures life said
sport,OSullivan quick hail Italians,Ireland coach Eddie OSullivan heaped praise Italy seeing side stutter 2817 victory Rome It hell tough game said OSullivan We struggled first half hadnt football Italy played really well They handled ball well terms kicking thats oxymoron We said game might take 10 minutes end game thats turned Ireland struggled cope Italys fierce start indebted skipper Brian ODriscoll set tries Geordan Murphy Peter Stringer We first attack Italian half 22 minutes said OSullivan We good return three firsthalf possessions half scored twice The second half spending time half Scrumhalf Peter Stringer also glad Ireland escaped wtih victory All credit told BBC Sport We knew would tough coming Rome They always give us tough game showed lot spirit They lot ball first half got scores got 22
entertainment,Hitch holds US box office,Will Smiths first romantic comedy Hitch topped North American box office second weekend Smith plays New York date doctor love worries movie took 318m 168m It held strong challenge new Keanu Reeves scifi thriller Constantine opened number two 305m 161m Constantine based Hellblazer comics stars Reeves exorcist must send Satans minions back hell Two family films came next chart Wayne Wangs comedy Because WinnDixie young girl abandoned dog third position 1085m 573m Comedy adventure Son Mask came number four 77m 41m ahead Oscar favourite Million Dollar Baby five Smiths comedy first US movie released year top 100m 527m mark Its success continues strong trend Hollwood moviegoing year figures popular Presidents Day weekend 13 greater last year Oscar contenders The Aviator starring Leonardo DiCaprio Howard Hughes winetasting comedy Sideways held onto positions top 10
entertainment,Ring Fire hit cowriter dies,Merle Kilgore cowriter country hit Ring Fire died congestive heart failure aged 70 He started singer songwriter going music management looking country star Hank Williams Jr He wrote Ring Fire June Carter Cash future wife Johnny Cash went score popular hit track Kilgore heart surgery 2004 also diagnosed lung cancer His death attributed treatment undergoing cancer His first selfpenned top 10 hit Dear Mama 1959 One first songs wrote artists Wolverton Mountain sold 10 million copies recorded Claude King He wrote Ring Fire June Carter Cash unrequited love Johnny later married It first recorded younger sister Anita Carter Johnny went make success June Carter Cash previously said upset husband Kilgore talked song without crediting believed credited Last year Kilgore turned awards dinner wheelchair expecting honour Hank Williams Jr instead surprise recipient lifetime achievement award International Entertainment Buyers Association
entertainment,Oscar nominee Dan OHerlihy dies,Irish actor Dan OHerlihy nominated best actor 1955 Oscars died age 85 OHerlihy whose Oscar nomination Luis Bunuels The Adventures Robinson Crusoe died home Malibu California spokesman said The actor began film career 1940s playing Macduff Orson Welles Macbeth 1948 also regular Dublin stage He later appeared Robocop sequel cult TV show Twin Peaks He played CEO Omni Consumer Products 1987s Robocop Robocop 2 three years later saw mill owner Andrew Packard Twin Peaks also 1990 Despite Oscar nomination lead roles became familiar supporting actor TV film The year nominated Academy Award Marlon Brando On Waterfront
politics,Boothroyd calls Lords speaker,Betty Boothroyd said House Lords needs Speaker peers lead way reforming upper chamber Baroness Boothroyd first woman Commons Speaker said believed Tony Blair initiated reforms without clear outcome mind Now take care make best told BBCs Breakfast Frost In 1999 Labour removed 92 Lords 750 hereditary peers That billed first stage reform institution The lord chancellor hinted reforms could unveiled next Labour manifesto I think need look carefully relationship Lords Commons Lord Falconer told BBC1s Breakfast With Frost How interacts Commons important issue We need address issue manifesto wait manifesto comes The lord chancellor currently role House Lords speaker He also head judiciary member Cabinet constitutional affairs secretary Lady Boothroyd said believed unacceptable lord chancellor role Speaker I would really like see Speaker House Lords said I dont go idea somebody lord chancellor head judiciary senior Cabinet minister Speaker Lords I want somebody going look House job
business,Ukraine strikes Turkmen gas deal,Ukraine agreed pay 30 natural gas supplied Turkmenistan The deal sealed three days Turkmenistan cut gas supplies price dispute threatened Ukrainian economy Supplies Turkmenistan account 45 natural gas imported Ukraine large coal deposits gas fields Turkmenistan also trying strike similar deal Russia dependent gas Turkmen President Saparmurat Niyazov signed contract said Turkmen side agreed lower price demanded 2 per 1000 cubic metres bringing 58 But new price still 14 higher price fixed contract 2004 The head Ukrainian stateowned Naftohaz company Yury Boyko said fully happy deal On Friday Turkmenistan acted threat shut gas supplies Ukraine attempt bring price dispute head Mr Niyazov said government would insist price supplies Russia Analysts say thay may happen Russia worlds leading gas producer needs cheap Turkmen gas relieve stateowned Gazprom costly investment exploration oil fields Siberia Turkmenistan secondlargest gas producer world
tech,Hacker threat Apples iTunes,Users Apples music jukebox iTunes need update software avoid potential security threat Hackers build malicious playlist files could crash program let seize control computer inserting Trojan code A new version iTunes available Apple website solves problem Security firm iDefence notified users problem recommended users upgrade iTunes version 471 The problem affects users iTunes Windows Mac OS running versions 47 earlier Users automatically upgrade iTunes opening look updates window program The security firm says users avoid clicking accessing playlist files file extension pls m3u come unknown sources Itunes worlds popular online music store 200 million songs downloaded since launched 2003
sport,FA probes crowd trouble,The FA take action trouble marred Wednesdays Carling Cup tie Chelsea West Ham Police riot gear confronted section West Ham support match Blues 10 Mateja Kezman scorer Chelseas goal needed treatment head injury match hit missile believed coin A spokeswoman Chelsea said club would await referees report deciding course action Kezman forced field receive treatment cut eye able continue Chelsea assistant boss Steve Clarke said I would rather talk football think something thrown crowd He require stitches West Ham boss Alan Pardew said Its shame I thought good English banter crowd Theres big rivalry two clubs shame thats happened From I standing I didnt see trouble Former Hammers star Joe Cole also plastic bottle thrown Frank Lampard pelted coins preparing take penalty Lampards spotkick saved delight Hammers fans still forgiven leaving Upton Park The FA seek reports clubs police review video evidence referees report Police riot gear battled West Ham fans Matthew Harding stand least one supporter required treatment Fans also thought clashed outside ground game Scotland Yard said 11 arrests alleged public order drugs offensive weapon offences The FA already looking trouble Tuesdays heated Carling Cup tie Millwall Liverpool
tech,Firefox browser takes Microsoft,Microsofts Internet Explorer serious rival longawaited Firefox 10 web browser released Few people get excited new software released especially program game music movie player But release first full version Firefox managed drum respectable amount prelaunch fervour Fans software banded together raise cash pay advert New York Times announcing version 10 browser available The release Firefox 10 9 November might even cause heads turn Microsoft program steadily winning people away software giants Internet Explorer browser Firefox created Mozilla Foundation started former browser maker Netscape back 1998 Much development work done since gone Firefox made first appearance name February Earlier incarnations core technology called Phoenix Firebird Since software gaining praise converts least large number security problems come light Microsofts Internet Explorer Rivals IE got boost late June two US computer security organisations warned people avoid Microsoft program avoid falling victim serious vulnerability Internet monitoring firm WebSideStory charted growing population people using Firefox browser says responsible slowly eroding stranglehold IE Before July year according WebSideStory Internet Explorer used 95 web surfers That figure remained static years In July IE using population dropped 947 end October stood 929 The Mozilla Foundation claims Firefox downloaded almost eight million times publicly said would happy garner 10 Windows using netbrowsing population Firefox proving popular moment far fewer security holes Internet Explorer innovations lacking Microsofts program For instance Firefox allows pages different websites arranged tabs users switch easily It blocks popups neat way finding text page lets search pages browsed One powerful features Firefox many hundreds extras extensions produced The Mozilla Foundation open source organisation means creators browser happy others play around core code program This resulted many different addons extensions browser include everything version familiar Google toolbar Homeland Security monitor keep users aware current threat levels Firefox used called Firebird Phoenix also growing number vocal netbased fans A campaign coordinated Spread Firefox website attempted raise 50000 needed full page advert New York Times The campaign set target recruiting 2500 volunteers Ten days campaign 10000 people signed 250000 raised The ad due run sometime threeweek period late Novemberearly December The surplus cash used help keep Mozilla Foundation running Microsoft facing growing challenge IEs hold web using population alternative browsers Opera Safari Amaya even Netscape
tech,The year search became personal,The odds fire browser go straight favourite search engine rather type web address Some may see height laziness era information overload search become vital tool navigating net It symptomatic way use internet changing And Google shown money offering service people cannot live without There shortage companies vying loyalty web searchers offering wealth different services tools help find want Over past 12 months giants technology world Microsoft Yahoo sought grab slice search action User experience contributed people searching said Yonca Brunini Yahoo As people become familiar internet tend spend time online ask queries said The second thing broadband Ms Brunini told BBC News website This internet colour done TV But search hardly new phenomenon It around since early days net Veteran surfers remember oldtimers like Hotbot Altavista Search always important said Urs Holzle Google vicepresident operations We trumpeted 1999 It even truer users information People didnt realise search future The financials something Google shown web commerce work targeted small adverts appear top righthand side page related original search These small ads helped Google reach revenues 8059m three months September Others woken fact make money web queries Once see market Microsoft bound step If Microsoft sees search important nobody queries said Mr Holzle Microsoft one net giants muscling search Yahoo Ask Jeeves Amazon handful smaller outfits seeking capture eyeballs Web users face plethora choices company tries outflank Google rolling new search products desktop search It reflects battlefield shifted net PC Search finding way around web It unlocking information hidden gigabytes documents images music hard drives For advances search still clumsy tool often failing come exactly mind In order better job search engines trying get know better better job remembering cataloguing managing information come across Personalisation going big area future said Yahoos Yonca Brunini Whoever cracks gives information want going winner We understand give better results tailored This perhaps Holy Grail search understanding looking providing quickly The problem one yet knows get
sport,Unclear future striker Baros,Liverpool forward Milan Baros uncertain whether remains part boss Rafa Benitezs plans dropped Carling Cup final Baros Liverpools leading scorer season denied reports row Benitez claims mystified left bench He told Czech newspaper Daily Sport I dont know I didnt play Sunday I didnt argue anybody I disappointed I thinking leaving right The Czech international came substitute 74 minutes could prevent side losing 32 Chelsea extratime Baros denied suggestions wanted leave Millennium Stadium match upon learning omission starting lineup But admission guessed something like going happen Saturday little quell claims fallingout Benitez And although Baros insisted thoughts quitting Anfield mind right admitted everything possible
tech,Yahoo celebrates decade online,Yahoo one nets iconic companies celebrating 10th anniversary week The web portal undergone remarkable change since set Stanford University students David Filo Jerry Yang campus trailer The students wanted way keeping track webbased interests The categories lists devised soon became popular hundreds people two saw business potential idea Originally dubbed Jerrys Guide World Wide Web firm adopted moniker Yahoo founders liked dictionary definition yahoo rude unsophisticated uncouth person The term popularised 18th Century satirist Jonathan Swift classic novel Gullivers Travels We certainly sophisticated civilised Mr Yang told reporters ahead anniversary officially recognised 2 March They business brains however April 1995 persuaded venture capitalists Sequoia Capital also invested Apple Computer Cisco Systems fund Yahoo tune 2m 104m A second round funding followed autumn company floated April 1996 less 50 employees Now firm employs 7600 workers insists dot com culture work hard play hard still remains It one handful survivors dotcom crash although faces intense rivalry firms Google MSN AOL Jerry Yang remains firms Chief Yahoo proud company achieved In one decade internet changed way consumers everything remarkable wonderful experience said Through wanted build products satisfied users wants needs even help every one us discover get done share interact
business,UK Coal plunges deeper loss,Shares UK Coal fallen mining group reported losses deepened 516m 2004 12m The UKs biggest coal producer blamed geological problems industrial action operating flaws deep mines worsening fortunes The South Yorkshire company led new chief executive Gerry Spindler said hoped return profit 2006 In early trade Thursday shares 10 119 pence UK Coal said making significant progress shaking business It introduced new wage structures new daily maintenance regime machinery mines methods continue mining adverse conditions The company said actions significantly uplift earnings It expected 2005 transitional year return profitability 2006 The recent rise coal prices failed benefit company output already sold said Total production costs 130 per gigajoule UK Coal said average selling price 118 per gigajoule We long journey ahead fix issues We continue make progress great strides already made said Mr Spindler UK Coal operates 15 deep surface mines across Nottinghamshire Derbyshire Leicestershire Yorkshire West Midlands Northumberland Durham
sport,Gardener wins double Glasgow,Britains Jason Gardener enjoyed double 60m success Glasgow first competitive outing since 100m relay gold Athens Olympics Gardener cruised home ahead Scot Nick Smith win invitational race Norwich Union International He recovered poor start second race beat Swede Daniel Persson Italys Luca Verdecchia His times 661 662 seconds well short American Maurice Greenes 60m world record 639secs 1998 Its hard record break I believe Ive trained well said world indoor champion hopes get closer mark season It important come make sure I got maximum points My last race Olympic final lot expectation This I needed sharpen get race fitness Im excited next couple months Double Olympic champion marked first appearance home soil since winning 1500m 800m gold Athens victory There third success Britain edged Russias Olga Fedorova Swedens Jenny Kallur win womens 60m race 723secs Maduaka unable repeat feat 200m finishing fourth took win Russia And 31yearold also missed podium place 4x200m relay British quartet came fourth Russia setting new world indoor record There setback Jade Johnson suffered recurrence back injury long jump Russia meeting final total 63 points Britain second 48 France one point behind third led way Russia producing major shock high jump beat Olympic champion Stefan Holm second place end Swedes 22event unbeaten record triple jump leap 1687m Britains Tosin Oke fourth 1580m mens pole vault competition clearance 565m Britains Nick Buckfield 51cm adrift personal best third And womens 800m Britains Jenny Meadows third There yet another Russian victory womens 400m finished well clear Britains Catherine Murphy Chris Lambert settle fourth fading closing stages mens 200m race Swedens held Leslie Djhone France Frances mens 400m Brett Rund fourth Britain took victory Sweden womens 60m hurdles ahead Russias Irina Shevchenko Britains Sarah Claxton set new personal best Italy grabbed first victory mens 1500m kicked last 200 metres hold Britains James Thie Frances Alexis Abraham A botched changeover 4x200m relay cost Britains men chance add points France claimed victory
tech,Movie body hits peertopeer nets,The movie industry struck filesharing networks another round lawsuits US The Motion Picture Association America MPAA also said succeeded getting network called LokiTorrent closed It latest network uses peertopeer system called BitTorrent hit MPAA The MPAA began legal campaign operators similar networks across four continents December A Dallas court agreed Hollywood lawyers would allowed access LokiTorrents server records could let single sharing files illegally In October 2004 site provided links 30000 files The action came operators LokiTorrent agreed settlement MPAA A stark message appeared site MPAA warning You click cant hide In BitTorrent systems server sites host files shared They host links called trackers direct people others instead As well filing unspecified number file suits across US MPAA said given operators host eDonkey servers take notices Hollywood studios aggressively clamping filesharers says infringe copyright laws copying films TV programmes share files online But targeting operators BitTorrent networks It filed 100 lawsuits operators BitTorrent server sites since December The strategy hitting run servers link copyrighted material intended stunt filesharers ability swap content using BitTorrent systems The film industry says black market illegally copied videos DVDs already costs billions every year worried illegal filesharing adding losses In December legal action claimed highprofile victim The popular Suprnovaorg website forced close others like Phoenix Torrent followed soon
sport,Iranian misses Israel match,Iranian striker Vahid Hashemian travel Israel Bayern Munichs Champions League match Maccabi Tel Aviv Wednesday The German club said player pulled back injury Iran refuses recognise Israels right exist allow citizens travel country A Bayern spokesman said Monday decision take Hashemian Israel motivated physical condition Hes got back pain couldnt train spokesman said It would made sense go Iran gave judo world champion Arash Miresmaeili 125000 reward refused fight Israeli Athens Olympics The International Judo Federation considered taking action Miresmaeili concluded overweight fight could taken part
tech,Mobile gaming takes India,Gaming move one fastestgrowing activities among techsavvy India says report The Indian mobile gaming market expected generate 26m 138m end 2004 according market analysts InStatMDR In October mobile phone users grew 14 million 449 million overtaking number landlines said Telecom Regulatory Authority India Analysts say cheap rates huge youth market driving market India large population under25s many urban areas fast adopting mobiles musthave gadgets Indias mobile gaming market bring 336m 178m 2009 according report Mobile gaming expected explode globally next years Analysts predict 220 million people playing games phones 2009 generating billions mobile companies Services voice calls offered mobile operators India result huge rise subscribers grown significantly rapidly The growth market sector attracted publishers developers animators musicians content providers also stimulating development innovative business models said Clint Wheelock director InStatMDRs wireless research group Mobile gaming fun also represents one key element rich mobile entertainment experience consumers lucrative market opportunity industry players Currently India six big games developers four mobile operators offer games subscribers said report According InStatMDR tipped make one important markets next wave mobile multimedia growth In January 2003 10 million mobile subscribers India Many choose mobiles rural areas order bypass poorer telecoms infrastructure Despite penetration rate still much lower countries Less 20 Indias total population mobile India compared well 50 European countries The trend echoes uptake mobiles many developing economies continues grow people opt leapfrog slower expensive staterun fixedline operators
tech,Mobiles rack 20 years use,Mobile phones UK celebrating 20th anniversary weekend Britains first mobile phone call made across Vodafone network 1 January 1985 veteran comedian Ernie Wise In 20 years since day mobile phones become integral part modern life almost 90 Britons handset Mobiles become popular many people use handset phone rarely use landline The first ever call portable phone made 1973 New York took 10 years first commercial mobile service launched The UK far behind rest world setting networks 1985 let people make calls walked The first call made St Katherines dock Vodafones head office Newbury time curry house For first nine days 1985 Vodafone firm mobile network UK Then 10 January Cellnet O2 launched service Mike Caudwell spokesman Vodafone said phones launched size briefcase cost 2000 battery life little 20 minutes Despite hugely popular mid80s said They became yuppy musthave status symbol among young wealthy business folk This also despite fact phones used analogue radio signals communicate made easy eavesdrop He said took Vodafone almost nine years rack first million customers 18 months get second million Its easy forget 1983 put bid document forecasting total market would two million people said Cellnet forecasting half Now Vodafone 14m customers UK alone Cellnet Vodafone mobile phone operators UK 1993 One2One TMobile launched Orange UK launch 1994 Both newcomers operated digital mobile networks operators use technology The analogue spectrum old phones retired Called Global System Mobiles GSM widely used phone technology planet used help 12 billion people make calls Mr Caudwell said advent digital technology also helped introduce things text messaging roaming made mobiles popular
politics,MPs quiz aides royal income,Senior officials two bodies generating private income Queen Prince Wales questioned MPs Aides Duchy Lancaster Duchy Cornwall appear Commons Public Accounts Committee It reported could questioned Prince Charles spending Camilla Parker Bowles But BBC correspondent Peter Hunt said responsible money spent may unable answer Duchy officials appear committee Monday responsible generating money The Duchy Lancaster provides Queens private income Duchy Cornwall provides Prince Charles annual income The Duchy Cornwall 140000acre estate across 25 counties also includes residential properties shops offices stocks shares It set 1337 King Edward III provide income successive heirs throne It covers cost princes public private life neither Charles William Harry receive taxpayers money Civil List However Prince Wales receive 4m government departments grantsinaid 20034 The duchy last year generated almost 12m The prince voluntarily paid income tax currently 40 since 1993
politics,Blair sets date Africa report,The Commission Africas report released 11 March Comic Relief day Tony Blair said Julys G8 summit Gleneagles Perthshire chaired prime minister use report basis talks Africa The announcement followed final meeting commission includes singer Bob Geldof London As well aid fairer trade less debt commission likely demand action corruption Africa Mr Blair told news conference It report thats brutally frank reality I hope idealistic done Its ambitious project set judge outcome publish Mr Blair vowed put Africa top agenda time helm G8 He acknowledged would job persuading nations get necessary commitment debt relief Bob Geldof characteristically blunt style promised commission would talking shop would deliver radical new thinking change direction Africa The former rock stars presence commission interpreted sign uncompromising demands The people involved include two African government leaders range African politicians well experts developed countries
entertainment,Fockers retain film chart crown,Comedy Meet The Fockers held number one spot North American box office second week It took 428m 237m weekend making overall takings 163m 90m 12 days according studio estimates It took 191m 99m Christmas Day alone highest takings day box office history The sequel Ben Stiller comedy Meet The Parents stars Robert De Niro Dustin Hoffman Barbra Streisand The success Meet Fockers could help produce record box office revenue 2004 said Paul Dergarabedian president industrys tracker Exhibitor Relations Weve much stronger anticipated final week year helped industry end high note said Mr Dergarabedian Meet Fockers also broke box office records money taken New Years Eve made 122m 62m New Years Day took 18m 94m The previous New Years Eve record set 2000 Cast Away 85m 45m The Lord Rings The Return King held New Years Day title 128m 67m However Christmas takings 265 2003s figures blamed Christmas falling weekend year This weekends top 12 films took estimated 1254m 658m 43 increase weekend last year But major releases last week provide competition Meet Fockers Lemony Snickets A Series Unfortunate Events finished second place 147m 77m The Aviator starring Leonardo DiCaprio Howard Hughes ended third position taking 112m 59m Comedy Fat Albert cowritten Bill Cosby moved chart fourth place taking 107m 56m
sport,Irish finish home game,Republic Ireland manager Brian Kerr granted wish home game final World Cup qualifier Ireland close bid reach 2006 finals playing Switzerland Dublin 12 October 2005 The Republic met Swiss final Euro 2004 qualifier losing 20 away missing place finals Portugal The Group Four fixtures hammered meeting Dublin Tuesday The Irish open campaign 4 September home Cyprus wrap 10match series 12 October 2005 visit Switzerland Manager Brian Kerr FAI officials met representatives Switzerland France Cyprus Israel Faroe Islands arrange fixture schedule Kerr hoped finish clash France got reigning European champions penultimate home match 7 September 2005 The manager got wish avoid repeat finishing bid qualify many away matches Republic Ireland v Cyprus France v Israel Switzerland v Faroe Islands Switzerland v Republic Ireland Israel v Cyprus Faroe Islands v France France v Republic Ireland Israel v Switzerland Cyprus v Faroe Islands Republic Ireland v Faroe Islands Cyprus v France Cyprus v Israel France v Switzerland Israel v Republic Ireland Switzerland v Cyprus Israel v France Republic Ireland v Israel Faroe Islands v Switzerland Faroe Islands v Republic Ireland August 17 Faroe Islands v Cyprus France v Faroe Islands Switzerland v Israel Republic Ireland v France Cyprus v Switzerland Faroe Islands v Israel Switzerland v France Israel v Faroe Islands Cyprus v Republic Ireland France v Cyprus Republic Ireland v Switzerland
sport,Charvis set lose fitness bid,Flanker Colin Charvis unlikely play part Wales final two games Six Nations Charvis missed three Wales victories ankle injury recovery slower expected He figure Scotland game thought unlikely ready final game said Wales physio Mark Davies Sonny Parker continuing struggle neck injury Hal Luscombe fit Murrayfield trip Centre Parker slim chance involved Scots 13 March Luscombes return fitness missing France match hamstring trouble timely boost Said Wales assistant coach Scott Johnson Were positive Hal hope hell raring go He comes back mix adds depth gives us options Replacement hooker Robin McBryde remains doubt picking knee ligament damage Paris last Saturday Were getting reviewed know end week Robins looking added Johnson Were hopeful early say stage Steve Jones Dragons likely drafted McBryde fails recover
sport,Vickery upbeat arm injury,England prop Phil Vickery staying positive despite broken arm ruling RBS Six Nations The 28yearold fractured radius right forearm Gloucesters 1716 win Bath Saturday He undergo operation Monday expected least six weeks He said This isnt injury stop working hard fitness elements around lads He added Ive got operation afternoon I could back fitness work week As frustrating Ive got positive After game Vickery spoke Bath prop David Barnes also broke arm recently I chat David Barnes looks like similar injury said He said operation back running week Theres doubt Im going get involved around place soon I operation Gloucester director rugby Nigel Melville said Phil broken radius large bone forearm I dont really know happened Phil definitely action least six weeks I feel sorry great shape He really needed 80 minutes rugby weekend happened Mentally must hard
politics,Howard unveils election platform,The Conservatives would stand forgotten majority Michael Howard pledged unveiled first part Tory election manifesto The Tory leader argued mass people says feel let Tony Blair share Tory values In foreword manifesto promises focus restoring order trying lower taxes giving power back people Labour says document offers return failed Tory past The Liberal Democrats say Conservatives cannot win predict threeparty contest Campaigning activity accelerating ahead general election widely tipped May could time June 2006 Labour Monday postponed launch election posters Asian tsunami disaster Mr Howard published introduction Tory manifesto Other chapters follow coming weeks In speech Northamptonshire said forgotten majority made backbone Britain They people saving first home retirement working hard accepting responsibilities He says manifesto foreword They forgotten neglected taken granted Mr Blair Saying Britain must change direction Mr Howard argues government big cannot continue path ever rising taxes He promises ensure frontline professionals parents patients make key decisions rather Whitehall bureaucrats And says Tories would get grip crime immigration disorder The decline responsibility proliferation socalled human rights left us moral quagmire unable get grip rising crime disorder says Mr Howard says produce Timetable Action people hold account issues like taxation far published options specific plans Mr Howard told BBC News Im determined lower taxes Im also determined make promises I cant keep The Tories unveiling material months ahead expected election needed time make voters aware policies said He asked Tory support government Iraq identity cards given Lib Dems chance portray opposition Labour Mr Howard argued test policies whether best Britain It nothing putting clear blue water opponents Labours election slogan Britains working dont let Tories wreck Campaign coordinator Alan Milburn accused Tories launching Thatcherism instalments Labour helped hard working majority families Lib Dem president Simon Hughes said party set election stance September The Liberal Democrats ask British people support year party policies best able deliver freedom fairness restore trust said
